TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4408;5147;05;A;   2;220101; 6;s;01;  193;-;  208;-;    6;-;    1;-;  187;-;  180;-;    7;-;    0;-;    0;-;    0;-;    2;-;    4;-;    4;-;    0;-;  207;-;  199;-;    8;-;    0;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
4408;5147;05;A;   2;220101; 6;s;02;  407;-;  465;-;    3;-;    2;-;  404;-;  393;-;   10;-;    1;-;    0;-;    0;-;    0;-;    3;-;    3;-;    0;-;  463;-;  455;-;    8;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-
4408;5147;05;A;   2;220101; 6;s;03;  354;-;  404;-;    2;-;    0;-;  351;-;  345;-;    6;-;    0;-;    1;-;    0;-;    0;-;    2;-;    2;-;    0;-;  404;-;  395;-;    8;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4408;5147;05;A;   2;220101; 6;s;04;  250;-;  266;-;    5;-;    3;-;  245;-;  237;-;    7;-;    1;-;    0;-;    0;-;    2;-;    3;-;    2;-;    0;-;  261;-;  253;-;    8;-;    0;-;    2;-;    0;-;    0;-;    3;-;    2;-;    0;-
4408;5147;05;A;   2;220101; 6;s;05;  140;-;  197;-;    2;-;    3;-;  138;-;  134;-;    4;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    0;-;  194;-;  189;-;    5;-;    0;-;    0;-;    0;-;    2;-;    1;-;    1;-;    0;-
4408;5147;05;A;   2;220101; 6;s;06;  120;-;  160;-;    2;-;    2;-;  118;-;  113;-;    4;-;    1;-;    0;-;    1;-;    0;-;    1;-;    0;-;    0;-;  158;-;  152;-;    6;-;    0;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-
4408;5147;05;A;   2;220101; 6;s;07;  160;-;  162;-;    4;-;    5;-;  154;-;  148;-;    6;-;    0;-;    2;-;    0;-;    0;-;    4;-;    3;-;    0;-;  154;-;  147;-;    7;-;    0;-;    3;-;    1;-;    0;-;    4;-;    4;-;    0;-
4408;5147;05;A;   2;220101; 6;s;08;  148;-;  130;-;    4;-;    3;-;  144;-;  134;-;   10;-;    0;-;    0;-;    0;-;    3;-;    1;-;    1;-;    0;-;  126;-;  116;-;   10;-;    0;-;    1;-;    0;-;    1;-;    2;-;    2;-;    0;-
4408;5147;05;A;   2;220101; 6;s;09;  150;-;  168;-;    4;-;    3;-;  145;-;  141;-;    3;-;    1;-;    1;-;    0;-;    1;-;    3;-;    3;-;    0;-;  164;-;  155;-;    9;-;    0;-;    1;-;    1;-;    0;-;    2;-;    2;-;    0;-
4408;5147;05;A;   2;220101; 6;s;10;  265;-;  227;-;    6;-;   10;-;  256;-;  237;-;   18;-;    1;-;    3;-;    2;-;    0;-;    4;-;    4;-;    0;-;  216;-;  206;-;    8;-;    2;-;    1;-;    1;-;    2;-;    7;-;    7;-;    0;-
4408;5147;05;A;   2;220101; 6;s;11;  455;-;  407;-;   14;-;    5;-;  438;-;  419;-;   17;-;    2;-;    3;-;    0;-;    1;-;   13;-;   12;-;    0;-;  401;-;  380;-;   20;-;    1;-;    1;-;    0;-;    0;-;    5;-;    4;-;    0;-
4408;5147;05;A;   2;220101; 6;s;12;  798;-;  684;-;   11;-;    5;-;  782;-;  743;-;   31;-;    8;-;    5;-;    0;-;    0;-;   11;-;    9;-;    0;-;  669;-;  628;-;   37;-;    4;-;   10;-;    0;-;    0;-;    5;-;    3;-;    0;-
4408;5147;05;A;   2;220101; 6;s;13; 1176;-; 1137;-;   16;-;    8;-; 1157;-; 1100;-;   54;-;    3;-;    3;-;    0;-;    3;-;   13;-;   12;-;    0;-; 1123;-; 1056;-;   62;-;    5;-;    6;-;    0;-;    3;-;    5;-;    5;-;    0;-
4408;5147;05;A;   2;220101; 6;s;14; 1331;-; 1405;-;   10;-;   14;-; 1314;-; 1250;-;   59;-;    5;-;    7;-;    2;-;    3;-;    5;-;    4;-;    0;-; 1382;-; 1312;-;   60;-;   10;-;    9;-;    0;-;    6;-;    8;-;    8;-;    0;-
4408;5147;05;A;   2;220101; 6;s;15; 1470;-; 1632;-;   12;-;    7;-; 1453;-; 1387;-;   60;-;    6;-;    5;-;    0;-;    4;-;    8;-;    7;-;    0;-; 1617;-; 1543;-;   66;-;    8;-;    8;-;    0;-;    4;-;    3;-;    3;-;    0;-
4408;5147;05;A;   2;220101; 6;s;16; 1391;-; 1650;-;    9;-;   10;-; 1376;-; 1303;-;   67;-;    6;-;    6;-;    0;-;    4;-;    5;-;    3;-;    0;-; 1627;-; 1554;-;   59;-;   14;-;   13;-;    0;-;    3;-;    7;-;    7;-;    0;-
4408;5147;05;A;   2;220101; 6;s;17; 1283;-; 1574;-;    7;-;   13;-; 1267;-; 1226;-;   32;-;    9;-;    9;-;    1;-;    1;-;    5;-;    2;-;    0;-; 1552;-; 1469;-;   75;-;    8;-;    9;-;    0;-;    5;-;    8;-;    8;-;    0;-
4408;5147;05;A;   2;220101; 6;s;18; 1207;-; 1511;-;   15;-;   12;-; 1183;-; 1124;-;   55;-;    4;-;    9;-;    1;-;    8;-;    6;-;    6;-;    0;-; 1492;-; 1425;-;   61;-;    6;-;    7;-;    0;-;    7;-;    5;-;    5;-;    0;-
4408;5147;05;A;   2;220101; 6;s;19;  951;-; 1218;-;   14;-;   10;-;  929;-;  877;-;   48;-;    4;-;    8;-;    1;-;    4;-;    9;-;    6;-;    0;-; 1203;-; 1150;-;   51;-;    2;-;    5;-;    0;-;    4;-;    6;-;    6;-;    0;-
4408;5147;05;A;   2;220101; 6;s;20;  812;-; 1025;-;   11;-;    9;-;  797;-;  769;-;   26;-;    2;-;    4;-;    0;-;    4;-;    7;-;    7;-;    0;-; 1012;-;  969;-;   40;-;    3;-;    4;-;    0;-;    6;-;    3;-;    3;-;    0;-
4408;5147;05;A;   2;220101; 6;s;21;  630;-;  900;-;    9;-;    9;-;  618;-;  586;-;   27;-;    5;-;    3;-;    0;-;    3;-;    6;-;    4;-;    0;-;  885;-;  852;-;   32;-;    1;-;    6;-;    1;-;    2;-;    6;-;    5;-;    0;-
4408;5147;05;A;   2;220101; 6;s;22;  515;-;  741;-;   10;-;   10;-;  501;-;  475;-;   25;-;    1;-;    4;-;    0;-;    1;-;    9;-;    8;-;    0;-;  725;-;  693;-;   31;-;    1;-;    6;-;    0;-;    1;-;    9;-;    8;-;    0;-
4408;5147;05;A;   2;220101; 6;s;23;  465;-;  584;-;   13;-;   10;-;  449;-;  433;-;   15;-;    1;-;    3;-;    1;-;    1;-;   11;-;   10;-;    0;-;  572;-;  550;-;   22;-;    0;-;    2;-;    0;-;    0;-;   10;-;    8;-;    0;-
4408;5147;05;A;   2;220101; 6;s;24;  298;-;  407;-;    7;-;    8;-;  290;-;  280;-;   10;-;    0;-;    1;-;    0;-;    0;-;    7;-;    7;-;    0;-;  398;-;  383;-;   14;-;    1;-;    1;-;    0;-;    1;-;    7;-;    5;-;    0;-
4408;5147;05;A;   2;220102; 7;s;01;  253;-;  318;-;   10;-;    4;-;  240;-;  229;-;   11;-;    0;-;    3;-;    0;-;    0;-;   10;-;    9;-;    0;-;  314;-;  298;-;   14;-;    2;-;    0;-;    0;-;    2;-;    2;-;    2;-;    0;-
4408;5147;05;A;   2;220102; 7;s;02;  145;-;  252;-;    8;-;    5;-;  137;-;  131;-;    5;-;    1;-;    0;-;    0;-;    1;-;    7;-;    6;-;    0;-;  245;-;  226;-;   18;-;    1;-;    2;-;    0;-;    1;-;    4;-;    4;-;    0;-
4408;5147;05;A;   2;220102; 7;s;03;  114;s;  215;s;   11;s;    5;s;  102;s;   94;s;    7;s;    1;s;    1;s;    0;s;    4;s;    7;s;    7;s;    0;s;  208;s;  187;s;   20;s;    1;s;    2;s;    0;s;    1;s;    4;s;    3;s;    0;s
4408;5147;05;A;   2;220102; 7;s;04;   93;-;  172;-;    8;-;    6;-;   85;-;   75;-;   10;-;    0;-;    0;-;    1;-;    1;-;    6;-;    5;-;    0;-;  166;-;  158;-;    7;-;    1;-;    0;-;    0;-;    1;-;    5;-;    5;-;    0;-
4408;5147;05;A;   2;220102; 7;s;05;  108;-;  198;-;   12;-;    4;-;   96;-;   89;-;    6;-;    1;-;    0;-;    0;-;    1;-;   11;-;   11;-;    0;-;  193;-;  178;-;   15;-;    0;-;    1;-;    0;-;    0;-;    4;-;    4;-;    0;-
4408;5147;05;A;   2;220102; 7;s;06;  173;-;  233;-;   11;-;   11;-;  160;-;  152;-;    7;-;    1;-;    2;-;    0;-;    0;-;   11;-;   10;-;    0;-;  220;-;  205;-;   14;-;    1;-;    2;-;    0;-;    0;-;   11;-;   11;-;    0;-
4408;5147;05;A;   2;220102; 7;s;07;  258;-;  293;-;   13;-;    9;-;  244;-;  224;-;   19;-;    1;-;    1;-;    1;-;    1;-;   11;-;   10;-;    0;-;  281;-;  256;-;   25;-;    0;-;    3;-;    1;-;    1;-;    7;-;    6;-;    0;-
4408;5147;05;A;   2;220102; 7;s;08;  305;-;  267;-;   22;-;    5;-;  278;-;  257;-;   20;-;    1;-;    5;-;    0;-;    4;-;   18;-;   18;-;    0;-;  257;-;  237;-;   20;-;    0;-;    5;-;    1;-;    0;-;    4;-;    3;-;    0;-
4408;5147;05;A;   2;220102; 7;s;09;  442;-;  385;-;   19;-;   18;-;  419;-;  390;-;   29;-;    0;-;    4;-;    1;-;    4;-;   14;-;   13;-;    0;-;  361;-;  341;-;   18;-;    2;-;    6;-;    2;-;    1;-;   15;-;   14;-;    0;-
4408;5147;05;A;   2;220102; 7;s;10;  645;-;  633;-;   14;-;   21;-;  626;-;  595;-;   31;-;    0;-;    5;-;    0;-;    1;-;   13;-;   13;-;    0;-;  605;-;  572;-;   31;-;    2;-;    7;-;    1;-;    3;-;   17;-;   17;-;    0;-
4408;5147;05;A;   2;220102; 7;s;11; 1039;-;  987;-;   17;-;   33;-; 1008;-;  946;-;   60;-;    2;-;   14;-;    2;-;    5;-;   10;-;   10;-;    0;-;  942;-;  892;-;   49;-;    1;-;   12;-;    2;-;    5;-;   26;-;   25;-;    0;-
4408;5147;05;A;   2;220102; 7;s;12; 1590;-; 1528;-;   14;-;   26;-; 1562;-; 1476;-;   83;-;    3;-;   14;-;    0;-;    2;-;   12;-;   11;-;    0;-; 1479;-; 1388;-;   88;-;    3;-;   23;-;    0;-;    7;-;   19;-;   15;-;    0;-
4408;5147;05;A;   2;220102; 7;s;13; 1867;-; 1996;-;   18;-;   35;-; 1827;-; 1730;-;   96;-;    1;-;   22;-;    0;-;    8;-;   10;-;   10;-;    0;-; 1939;-; 1814;-;  119;-;    6;-;   22;-;    0;-;   16;-;   19;-;   17;-;    0;-
4408;5147;05;A;   2;220102; 7;s;14; 2076;-; 2296;-;   15;-;   26;-; 2043;-; 1950;-;   88;-;    5;-;   18;-;    0;-;    6;-;    9;-;    8;-;    0;-; 2249;-; 2126;-;  115;-;    8;-;   21;-;    0;-;   10;-;   16;-;   15;-;    0;-
4408;5147;05;A;   2;220102; 7;s;15; 2092;-; 2658;-;   20;-;   35;-; 2053;-; 1923;-;  122;-;    8;-;   19;-;    3;-;    7;-;   10;-;    9;-;    0;-; 2602;-; 2431;-;  159;-;   12;-;   21;-;    6;-;    8;-;   21;-;   21;-;    0;-
4408;5147;05;A;   2;220102; 7;s;16; 1796;-; 2627;-;   26;-;   32;-; 1752;-; 1650;-;   98;-;    4;-;   18;-;    1;-;   13;-;   12;-;   12;-;    0;-; 2572;-; 2405;-;  156;-;   11;-;   23;-;    2;-;   13;-;   17;-;   16;-;    0;-
4408;5147;05;A;   2;220102; 7;s;17; 1637;-; 2482;-;   15;-;   31;-; 1614;-; 1515;-;   95;-;    4;-;    8;-;    0;-;    3;-;   12;-;   10;-;    0;-; 2430;-; 2263;-;  152;-;   15;-;   21;-;    3;-;    6;-;   22;-;   20;-;    0;-
4408;5147;05;A;   2;220102; 7;s;18; 1559;-; 2345;-;   20;-;   27;-; 1530;-; 1449;-;   78;-;    3;-;    9;-;    0;-;    6;-;   14;-;   13;-;    0;-; 2304;-; 2163;-;  136;-;    5;-;   14;-;    1;-;    8;-;   18;-;   17;-;    0;-
4408;5147;05;A;   2;220102; 7;s;19; 1294;-; 2055;-;   13;-;   22;-; 1277;-; 1219;-;   56;-;    2;-;    4;-;    0;-;    3;-;   10;-;   10;-;    0;-; 2022;-; 1918;-;   96;-;    8;-;   11;-;    2;-;    6;-;   14;-;   11;-;    0;-
4408;5147;05;A;   2;220102; 7;s;20; 1008;-; 1749;-;    8;-;   34;-;  993;-;  947;-;   44;-;    2;-;    7;-;    3;-;    0;-;    5;-;    5;-;    0;-; 1703;-; 1614;-;   87;-;    2;-;   12;-;    2;-;    9;-;   23;-;   19;-;    0;-
4408;5147;05;A;   2;220102; 7;s;21;  890;-; 1374;-;   18;-;   33;-;  870;-;  822;-;   46;-;    2;-;    2;-;    1;-;    3;-;   14;-;   14;-;    0;-; 1337;-; 1256;-;   76;-;    5;-;    4;-;    3;-;    7;-;   23;-;   22;-;    0;-
4408;5147;05;A;   2;220102; 7;s;22;  631;-; 1153;-;   14;-;   23;-;  614;-;  580;-;   33;-;    1;-;    3;-;    1;-;    2;-;   11;-;    9;-;    0;-; 1127;-; 1061;-;   62;-;    4;-;    3;-;    1;-;   10;-;   12;-;   10;-;    0;-
4408;5147;05;A;   2;220102; 7;s;23;  503;-;  784;-;   62;-;   34;-;  439;-;  408;-;   29;-;    2;-;    2;-;    1;-;   10;-;   51;-;   44;-;    0;-;  747;-;  682;-;   65;-;    0;-;    3;-;    3;-;    4;-;   27;-;   19;-;    0;-
4408;5147;05;A;   2;220102; 7;s;24;  306;-;  581;-;   41;-;   30;-;  264;-;  245;-;   19;-;    0;-;    1;-;    2;-;    1;-;   38;-;   33;-;    0;-;  543;-;  497;-;   45;-;    1;-;    8;-;    5;-;    5;-;   20;-;   18;-;    0;-
4408;5147;05;A;   2;220103; 1;u;01;  196;-;  457;-;   40;-;   39;-;  156;-;  140;-;   16;-;    0;-;    0;-;    1;-;    6;-;   33;-;   30;-;    0;-;  414;-;  367;-;   47;-;    0;-;    4;-;    2;-;    1;-;   36;-;   32;-;    0;-
4408;5147;05;A;   2;220103; 1;u;02;  132;-;  379;-;   35;-;   39;-;   97;-;   88;-;    9;-;    0;-;    0;-;    0;-;    2;-;   33;-;   31;-;    0;-;  337;-;  278;-;   58;-;    1;-;    3;-;    1;-;    9;-;   29;-;   25;-;    0;-
4408;5147;05;A;   2;220103; 1;u;03;  127;-;  291;-;   45;-;   79;-;   82;-;   66;-;   16;-;    0;-;    0;-;    0;-;    7;-;   38;-;   33;-;    0;-;  211;-;  184;-;   27;-;    0;-;    1;-;    4;-;   11;-;   64;-;   58;-;    0;-
4408;5147;05;A;   2;220103; 1;u;04;  173;-;  361;-;   58;-;  103;-;  114;-;  100;-;   14;-;    0;-;    1;-;    0;-;   10;-;   48;-;   42;-;    0;-;  258;-;  226;-;   32;-;    0;-;    0;-;    1;-;   21;-;   81;-;   69;-;    0;-
4408;5147;05;A;   2;220103; 1;u;05;  384;-;  670;-;   95;-;  179;-;  289;-;  261;-;   28;-;    0;-;    0;-;    0;-;   21;-;   74;-;   65;-;    0;-;  488;-;  432;-;   53;-;    3;-;    3;-;    2;-;   30;-;  147;-;  130;-;    0;-
4408;5147;05;A;   2;220103; 1;u;06; 1127;-; 1388;-;  222;-;  278;-;  902;-;  772;-;  126;-;    4;-;    3;-;    2;-;   39;-;  181;-;  159;-;    0;-; 1106;-;  987;-;  114;-;    5;-;    4;-;    6;-;   30;-;  242;-;  217;-;    0;-
4408;5147;05;A;   2;220103; 1;u;07; 1863;-; 1886;-;  312;-;  322;-; 1538;-; 1284;-;  250;-;    4;-;   13;-;    3;-;   48;-;  261;-;  228;-;    0;-; 1559;-; 1342;-;  205;-;   12;-;    5;-;    3;-;   54;-;  265;-;  222;-;    0;-
4408;5147;05;A;   2;220103; 1;u;08; 1990;-; 2234;-;  304;-;  321;-; 1674;-; 1457;-;  214;-;    3;-;   12;-;    5;-;   52;-;  247;-;  223;-;    0;-; 1903;-; 1687;-;  213;-;    3;-;   10;-;    2;-;   53;-;  266;-;  221;-;    0;-
4408;5147;05;A;   2;220103; 1;u;09; 1608;-; 1871;-;  306;-;  332;-; 1286;-; 1089;-;  193;-;    4;-;   16;-;    1;-;   52;-;  253;-;  226;-;    0;-; 1529;-; 1313;-;  213;-;    3;-;   10;-;    6;-;   65;-;  261;-;  218;-;    0;-
4408;5147;05;A;   2;220103; 1;u;10; 1386;-; 1602;-;  317;-;  356;-; 1058;-;  865;-;  189;-;    4;-;   11;-;    2;-;   52;-;  263;-;  224;-;    0;-; 1235;-; 1055;-;  174;-;    6;-;   11;-;    3;-;   59;-;  294;-;  259;-;    0;-
4408;5147;05;A;   2;220103; 1;u;11; 1563;-; 1596;-;  339;-;  370;-; 1208;-; 1047;-;  160;-;    1;-;   16;-;    2;-;   48;-;  289;-;  252;-;    0;-; 1213;-; 1021;-;  186;-;    6;-;   13;-;    4;-;   79;-;  287;-;  251;-;    0;-
4408;5147;05;A;   2;220103; 1;u;12; 1664;-; 1882;-;  370;-;  372;-; 1278;-; 1120;-;  154;-;    4;-;   16;-;    3;-;   71;-;  296;-;  253;-;    0;-; 1493;-; 1277;-;  211;-;    5;-;   17;-;    2;-;   68;-;  302;-;  265;-;    0;-
4408;5147;05;A;   2;220103; 1;u;13; 1893;-; 2036;-;  351;-;  388;-; 1526;-; 1339;-;  185;-;    2;-;   16;-;    1;-;   69;-;  281;-;  246;-;    0;-; 1624;-; 1431;-;  182;-;   11;-;   24;-;    4;-;   52;-;  332;-;  287;-;    0;-
4408;5147;05;A;   2;220103; 1;u;14; 1930;-; 1827;-;  345;-;  296;-; 1571;-; 1388;-;  179;-;    4;-;   14;-;    0;-;   62;-;  283;-;  260;-;    0;-; 1517;-; 1324;-;  182;-;   11;-;   14;-;    1;-;   59;-;  236;-;  204;-;    0;-
4408;5147;05;A;   2;220103; 1;u;15; 2327;-; 2643;-;  323;-;  454;-; 1984;-; 1744;-;  239;-;    1;-;   20;-;    3;-;   44;-;  276;-;  247;-;    0;-; 2165;-; 1878;-;  278;-;    9;-;   24;-;    3;-;   50;-;  401;-;  361;-;    0;-
4408;5147;05;A;   2;220103; 1;u;16; 2430;-; 2958;-;  276;-;  447;-; 2134;-; 1892;-;  240;-;    2;-;   20;-;    1;-;   41;-;  234;-;  205;-;    0;-; 2491;-; 2181;-;  302;-;    8;-;   20;-;    3;-;   51;-;  393;-;  347;-;    0;-
4408;5147;05;A;   2;220103; 1;u;17; 2347;-; 3013;-;  261;-;  369;-; 2073;-; 1868;-;  202;-;    3;-;   13;-;    1;-;   34;-;  226;-;  196;-;    0;-; 2619;-; 2339;-;  268;-;   12;-;   25;-;    4;-;   25;-;  340;-;  296;-;    0;-
4408;5147;05;A;   2;220103; 1;u;18; 2004;-; 2461;-;  211;-;  292;-; 1776;-; 1624;-;  146;-;    6;-;   17;-;    0;-;   17;-;  194;-;  175;-;    0;-; 2153;-; 1965;-;  184;-;    4;-;   16;-;    5;-;   35;-;  252;-;  215;-;    0;-
4408;5147;05;A;   2;220103; 1;u;19; 1448;-; 1885;-;  200;-;  245;-; 1242;-; 1138;-;  101;-;    3;-;    6;-;    4;-;   21;-;  175;-;  157;-;    0;-; 1633;-; 1529;-;  101;-;    3;-;    7;-;    4;-;   25;-;  216;-;  184;-;    0;-
4408;5147;05;A;   2;220103; 1;u;20;  979;-; 1348;-;  193;-;  177;-;  779;-;  697;-;   81;-;    1;-;    7;-;    1;-;   11;-;  181;-;  146;-;    0;-; 1162;-; 1055;-;   99;-;    8;-;    9;-;    1;-;   15;-;  161;-;  132;-;    0;-
4408;5147;05;A;   2;220103; 1;u;21;  752;-; 1128;-;  124;-;  146;-;  621;-;  571;-;   50;-;    0;-;    7;-;    1;-;    9;-;  114;-;   84;-;    0;-;  977;-;  881;-;   93;-;    3;-;    5;-;    0;-;   11;-;  135;-;  122;-;    0;-
4408;5147;05;A;   2;220103; 1;u;22;  604;-;  851;-;  119;-;  113;-;  485;-;  437;-;   45;-;    3;-;    0;-;    1;-;   15;-;  103;-;   87;-;    0;-;  732;-;  663;-;   68;-;    1;-;    6;-;    1;-;   11;-;  101;-;   88;-;    0;-
4408;5147;05;A;   2;220103; 1;u;23;  464;-;  688;-;   87;-;  126;-;  374;-;  336;-;   36;-;    2;-;    3;-;    0;-;    2;-;   85;-;   69;-;    0;-;  559;-;  501;-;   56;-;    2;-;    3;-;    1;-;   15;-;  110;-;   89;-;    0;-
4408;5147;05;A;   2;220103; 1;u;24;  294;-;  466;-;   71;-;  104;-;  221;-;  197;-;   23;-;    1;-;    2;-;    1;-;    4;-;   66;-;   54;-;    0;-;  356;-;  304;-;   52;-;    0;-;    6;-;    1;-;   15;-;   88;-;   73;-;    0;-
4408;5147;05;A;   2;220104; 2;u;01;  237;-;  375;-;   77;-;  105;-;  156;-;  139;-;   17;-;    0;-;    4;-;    1;-;    7;-;   69;-;   56;-;    0;-;  268;-;  219;-;   45;-;    4;-;    2;-;    0;-;    6;-;   99;-;   77;-;    0;-
4408;5147;05;A;   2;220104; 2;u;02;  167;-;  313;-;   70;-;  105;-;   97;-;   77;-;   20;-;    0;-;    0;-;    0;-;    6;-;   64;-;   54;-;    0;-;  202;-;  174;-;   28;-;    0;-;    6;-;    0;-;   13;-;   92;-;   66;-;    0;-
4408;5147;05;A;   2;220104; 2;u;03;  156;-;  331;-;   79;-;  134;-;   77;-;   57;-;   19;-;    1;-;    0;-;    1;-;    9;-;   69;-;   62;-;    0;-;  197;-;  153;-;   41;-;    3;-;    0;-;    0;-;    5;-;  129;-;  105;-;    0;-
4408;5147;05;A;   2;220104; 2;u;04;  177;-;  391;-;   83;-;  190;-;   94;-;   82;-;   11;-;    1;-;    0;-;    2;-;    6;-;   75;-;   59;-;    0;-;  198;-;  149;-;   49;-;    0;-;    3;-;    1;-;   27;-;  162;-;  136;-;    0;-
4408;5147;05;A;   2;220104; 2;u;05;  407;-;  753;-;  158;-;  316;-;  246;-;  212;-;   32;-;    2;-;    3;-;    3;-;   30;-;  125;-;  109;-;    0;-;  432;-;  360;-;   68;-;    4;-;    5;-;    3;-;   35;-;  278;-;  230;-;    0;-
4408;5147;05;A;   2;220104; 2;u;06; 1062;-; 1479;-;  251;-;  407;-;  810;-;  708;-;   99;-;    3;-;    1;-;    0;-;   39;-;  212;-;  184;-;    0;-; 1067;-;  926;-;  137;-;    4;-;    5;-;    2;-;   47;-;  358;-;  314;-;    0;-
4408;5147;05;A;   2;220104; 2;u;07; 1785;-; 2009;-;  317;-;  488;-; 1454;-; 1217;-;  235;-;    2;-;   14;-;    1;-;   63;-;  253;-;  218;-;    0;-; 1505;-; 1281;-;  216;-;    8;-;   16;-;    2;-;   67;-;  419;-;  351;-;    0;-
4408;5147;05;A;   2;220104; 2;u;08; 1990;-; 2353;-;  325;-;  487;-; 1656;-; 1410;-;  242;-;    4;-;    9;-;    1;-;   52;-;  272;-;  238;-;    0;-; 1855;-; 1610;-;  239;-;    6;-;   11;-;    2;-;   59;-;  426;-;  379;-;    0;-
4408;5147;05;A;   2;220104; 2;u;09; 1709;-; 2117;-;  365;-;  556;-; 1325;-; 1109;-;  216;-;    0;-;   19;-;    2;-;   58;-;  305;-;  263;-;    0;-; 1543;-; 1287;-;  247;-;    9;-;   18;-;    2;-;   85;-;  469;-;  400;-;    0;-
4408;5147;05;A;   2;220104; 2;u;10; 1551;-; 1906;-;  386;-;  577;-; 1154;-;  995;-;  153;-;    6;-;   11;-;    6;-;   59;-;  321;-;  273;-;    0;-; 1311;-; 1096;-;  208;-;    7;-;   18;-;    2;-;   64;-;  511;-;  424;-;    0;-
4408;5147;05;A;   2;220104; 2;u;11; 1663;-; 1983;-;  443;-;  652;-; 1203;-; 1031;-;  168;-;    4;-;   17;-;    2;-;   85;-;  356;-;  315;-;    0;-; 1307;-; 1107;-;  194;-;    6;-;   24;-;    5;-;   64;-;  583;-;  503;-;    0;-
4408;5147;05;A;   2;220104; 2;u;12; 1790;-; 1983;-;  433;-;  641;-; 1341;-; 1136;-;  203;-;    2;-;   16;-;    1;-;   80;-;  352;-;  309;-;    0;-; 1321;-; 1108;-;  199;-;   14;-;   21;-;    1;-;   86;-;  554;-;  481;-;    0;-
4408;5147;05;A;   2;220104; 2;u;13; 2157;-; 2109;-;  527;-;  624;-; 1604;-; 1351;-;  248;-;    5;-;   26;-;    2;-;   80;-;  445;-;  398;-;    0;-; 1459;-; 1250;-;  207;-;    2;-;   26;-;    0;-;   82;-;  542;-;  491;-;    0;-
4408;5147;05;A;   2;220104; 2;u;14; 2007;-; 2317;-;  463;-;  619;-; 1519;-; 1301;-;  212;-;    6;-;   25;-;    2;-;   61;-;  400;-;  351;-;    0;-; 1670;-; 1431;-;  228;-;   11;-;   28;-;    1;-;   70;-;  548;-;  481;-;    0;-
4408;5147;05;A;   2;220104; 2;u;15; 2343;-; 2614;-;  452;-;  556;-; 1874;-; 1621;-;  247;-;    6;-;   17;-;    2;-;   64;-;  386;-;  360;-;    0;-; 2037;-; 1774;-;  250;-;   13;-;   21;-;    2;-;   61;-;  493;-;  433;-;    0;-
4408;5147;05;A;   2;220104; 2;u;16; 2638;-; 2989;-;  429;-;  498;-; 2191;-; 1917;-;  272;-;    2;-;   18;-;    1;-;   54;-;  374;-;  327;-;    0;-; 2465;-; 2166;-;  292;-;    7;-;   26;-;    2;-;   53;-;  443;-;  380;-;    0;-
4408;5147;05;A;   2;220104; 2;u;17; 2521;-; 3092;-;  347;-;  406;-; 2163;-; 1956;-;  204;-;    3;-;   11;-;    1;-;   30;-;  316;-;  283;-;    0;-; 2660;-; 2372;-;  279;-;    9;-;   26;-;    0;-;   40;-;  366;-;  320;-;    0;-
4408;5147;05;A;   2;220104; 2;u;18; 2154;-; 2457;-;  304;-;  329;-; 1848;-; 1702;-;  144;-;    2;-;    2;-;    3;-;   19;-;  282;-;  244;-;    0;-; 2112;-; 1906;-;  191;-;   15;-;   16;-;    0;-;   22;-;  307;-;  272;-;    0;-
4408;5147;05;A;   2;220104; 2;u;19; 1611;-; 1954;-;  283;-;  255;-; 1317;-; 1204;-;  109;-;    4;-;   11;-;    3;-;   15;-;  265;-;  235;-;    0;-; 1688;-; 1545;-;  136;-;    7;-;   11;-;    0;-;   14;-;  241;-;  214;-;    0;-
4408;5147;05;A;   2;220104; 2;u;20; 1128;-; 1380;-;  238;-;  240;-;  877;-;  796;-;   80;-;    1;-;   13;-;    0;-;   22;-;  216;-;  174;-;    0;-; 1132;-; 1017;-;  106;-;    9;-;    8;-;    0;-;   16;-;  224;-;  202;-;    0;-
